X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 4
1.858503936439432014e+00,1.820852045427288957e+00,-3.121999999999999775e-01,1.094600000000000017e-01,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,-1.179649999999999969e-02,9.772100000000000231e-01,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,-3.633200000000000318e-02,9.713600000000000012e-01,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,-8.851000000000000534e-02,9.547900000000000276e-01,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,-4.693999999999999839e-01,8.021249999999999769e-01,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,-2.499450000000000005e-01,9.319049999999999834e-01,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,-2.081950000000000120e-02,1.350000000000017852e-03,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,3.307100000000000040e-01,8.749249999999999527e-01,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,-2.672100000000000170e-02,9.752049999999999885e-01,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,-5.652999999999999692e-02,9.670849999999999724e-01,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,-1.194700000000000067e-01,9.444850000000000190e-01,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,-4.627199999999999647e-01,8.204599999999999671e-01,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,-2.412799999999999945e-01,9.370000000000000551e-01,0.000000000000000000e+00
