X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 3
1.858503936439432014e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,-2.359299999999999939e-02,9.544200000000000461e-01,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,-7.266400000000000636e-02,9.427200000000000024e-01,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,-1.770200000000000107e-01,9.095800000000000551e-01,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,-2.727399999999999824e-01,8.681200000000000028e-01,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,-5.344200000000000339e-02,9.504099999999999770e-01,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,-1.130599999999999938e-01,9.341699999999999449e-01,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,-2.389400000000000135e-01,8.889700000000000379e-01,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,-3.431199999999999806e-01,8.378299999999999637e-01,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,-8.133200000000000152e-02,9.476299999999999724e-01,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,-1.475599999999999967e-01,9.274200000000000221e-01,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,-2.873299999999999743e-01,8.720200000000000173e-01,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,-2.628800000000000026e-01,9.376200000000000090e-01,0.000000000000000000e+00
9.292519682197159625e+00,9.104260227136444783e+00,-4.191599999999999770e-01,8.602999999999999536e-01,0.000000000000000000e+00
1.672653542795488946e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,9.104260227136444783e+00,1.167299999999999935e-02,9.892300000000000537e-01,0.000000000000000000e+00
