X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 8
1.858503936439432014e+00,1.820852045427288957e+00,3.040550000000000197e-01,8.964849999999999763e-01,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,-2.284249999999999892e-01,9.334149999999999947e-01,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,8.382499999999999674e-02,9.387050000000000116e-01,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,-2.395899999999999974e-01,9.057450000000000223e-01,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,-4.397650000000000170e-01,5.925300000000000011e-01,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,-4.556200000000000250e-01,4.333150000000000057e-01,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,3.385150000000000103e-01,8.679399999999999338e-01,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,-3.353749999999999787e-01,8.447500000000000009e-01,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,1.025950000000000056e-01,9.269100000000000117e-01,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,-2.421550000000000091e-01,8.979699999999999349e-01,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,-3.944150000000000156e-01,7.037949999999999484e-01,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,-4.543200000000000016e-01,4.832825000000000037e-01,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,2.876850000000000240e-01,9.076100000000000279e-01,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,-3.765299999999999758e-01,7.833499999999999908e-01,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,1.368149999999999922e-01,9.103799999999999670e-01,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,-2.288650000000000129e-01,9.010799999999999921e-01,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,3.373050000000000215e-01,2.107550000000000257e-01,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,-3.771999999999999797e-01,7.209950000000000525e-01,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,-3.463700000000000112e-01,7.822149999999999936e-01,0.000000000000000000e+00
