X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 10
1.858503936439432014e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,-2.395899999999999974e-01,9.057450000000000223e-01,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,-4.397650000000000170e-01,5.925300000000000011e-01,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,-6.835000000000035492e-03,-1.062974999999999892e-01,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,-4.397800000000000042e-01,4.654479999999999729e-01,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,-4.348299999999999943e-01,3.605500000000000371e-01,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,-4.312650000000000095e-01,2.595549999999999802e-01,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,-2.421550000000000091e-01,8.979699999999999349e-01,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,-3.944150000000000156e-01,7.037949999999999484e-01,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,-3.105000000000024407e-03,-6.130099999999999438e-02,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,-4.378900000000000015e-01,4.609245000000000148e-01,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,-4.291099999999999914e-01,3.487550000000000372e-01,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,4.340100000000000069e-01,7.210849999999999760e-01,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,-2.288650000000000129e-01,9.010799999999999921e-01,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,3.373050000000000215e-01,2.107550000000000257e-01,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,7.394500000000003848e-02,1.706249999999999989e-01,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,1.055999999999999717e-01,7.012999999999999790e-02,0.000000000000000000e+00
9.292519682197159625e+00,9.104260227136444783e+00,-3.474599999999999911e-01,8.093299999999999939e-01,0.000000000000000000e+00
1.672653542795488946e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,9.104260227136444783e+00,-3.228949999999999876e-01,8.405050000000000576e-01,0.000000000000000000e+00
