X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 2
1.858503936439432014e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,-1.179649999999999969e-02,9.772100000000000231e-01,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,-3.633200000000000318e-02,9.713600000000000012e-01,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,-8.851000000000000534e-02,9.547900000000000276e-01,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,-1.363699999999999912e-01,9.340600000000000014e-01,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,-2.672100000000000170e-02,9.752049999999999885e-01,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,-5.652999999999999692e-02,9.670849999999999724e-01,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,-1.194700000000000067e-01,9.444850000000000190e-01,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,-1.715599999999999903e-01,9.189149999999999263e-01,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,-4.066600000000000076e-02,9.738149999999999862e-01,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,-7.377999999999999836e-02,9.637100000000000666e-01,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,-1.436649999999999872e-01,9.360100000000000087e-01,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,-1.314400000000000013e-01,9.688099999999999490e-01,0.000000000000000000e+00
9.292519682197159625e+00,9.104260227136444783e+00,-2.095799999999999885e-01,9.301500000000000323e-01,0.000000000000000000e+00
1.672653542795488946e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,9.104260227136444783e+00,5.836499999999999674e-03,9.946150000000000269e-01,0.000000000000000000e+00
