X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 6
1.858503936439432014e+00,1.820852045427288957e+00,-8.144999999999957829e-03,5.944999999999978080e-03,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,-2.284249999999999892e-01,9.334149999999999947e-01,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,8.382499999999999674e-02,9.387050000000000116e-01,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,-3.330299999999999927e-01,8.680649999999999755e-01,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,-2.499450000000000005e-01,9.319049999999999834e-01,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,-2.081950000000000120e-02,1.350000000000017852e-03,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,6.692249999999999588e-01,7.428649999999999975e-01,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,-3.353749999999999787e-01,8.447500000000000009e-01,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,1.025950000000000056e-01,9.269100000000000117e-01,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,-2.911599999999999744e-01,9.015450000000000408e-01,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,-2.412799999999999945e-01,9.370000000000000551e-01,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,2.155249999999999874e-02,9.986949999999999994e-01,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,-6.377499999999997060e-02,5.233999999999999764e-02,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,-3.765299999999999758e-01,7.833499999999999908e-01,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,1.368149999999999922e-01,9.103799999999999670e-01,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,9.104260227136444783e+00,7.228500000000000203e-02,9.946999999999999176e-01,0.000000000000000000e+00
1.672653542795488946e+01,9.104260227136444783e+00,1.747750000000000137e-01,9.673650000000000304e-01,0.000000000000000000e+00
2.416055117371261574e+01,9.104260227136444783e+00,3.403300000000000214e-01,8.586799999999999988e-01,0.000000000000000000e+00
3.159456691947034557e+01,9.104260227136444783e+00,4.486800000000000233e-01,6.814700000000000202e-01,0.000000000000000000e+00
3.902858266522807185e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.133062990250125779e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.876464564825899117e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.619866139401671035e+01,9.104260227136444783e+00,8.458000000000000240e-02,9.925399999999999778e-01,0.000000000000000000e+00
8.363267713977444373e+01,9.104260227136444783e+00,1.929649999999999976e-01,9.604949999999999877e-01,0.000000000000000000e+00
9.106669288553216290e+01,9.104260227136444783e+00,3.225299999999999834e-01,8.772100000000000453e-01,0.000000000000000000e+00
9.850070863128989629e+01,9.104260227136444783e+00,3.978550000000000142e-01,7.910300000000000109e-01,0.000000000000000000e+00
1.059347243770476297e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.133687401228053488e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.208027558685630822e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282367716143208156e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.356707873600785490e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.431048031058362540e+02,9.104260227136444783e+00,8.662000000000000255e-02,9.917150000000000132e-01,0.000000000000000000e+00
1.505388188515939873e+02,9.104260227136444783e+00,2.005149999999999988e-01,9.576750000000000540e-01,0.000000000000000000e+00
1.579728345973517207e+02,9.104260227136444783e+00,3.107699999999999907e-01,8.887800000000000145e-01,0.000000000000000000e+00
1.654068503431094541e+02,9.104260227136444783e+00,3.578299999999999814e-01,8.449949999999999406e-01,0.000000000000000000e+00
1.728408660888671875e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.858503936439432014e+00,1.638766840884559883e+01,1.751099999999999879e-01,9.475249999999999506e-01,0.000000000000000000e+00
9.292519682197159625e+00,1.638766840884559883e+01,-2.779050000000000131e-01,9.043499999999998762e-02,0.000000000000000000e+00
1.672653542795488946e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
