X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 5
1.858503936439432014e+00,1.820852045427288957e+00,-6.243999999999999551e-01,-7.810799999999999965e-01,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,-6.660599999999999854e-01,7.361299999999999510e-01,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,-4.998900000000000010e-01,8.638099999999999667e-01,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,-4.163900000000000240e-02,-9.972999999999999643e-01,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,6.614200000000000079e-01,7.498500000000000165e-01,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,-5.823199999999999488e-01,8.030899999999999705e-01,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,-4.825599999999999890e-01,8.739999999999999991e-01,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,4.310499999999999748e-02,9.973899999999999988e-01,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,-7.029199999999999893e-01,-7.105399999999999494e-01,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,9.104260227136444783e+00,1.445700000000000041e-01,9.893999999999999462e-01,0.000000000000000000e+00
1.672653542795488946e+01,9.104260227136444783e+00,3.495500000000000274e-01,9.347299999999999498e-01,0.000000000000000000e+00
2.416055117371261574e+01,9.104260227136444783e+00,6.806600000000000428e-01,7.173599999999999977e-01,0.000000000000000000e+00
3.159456691947034557e+01,9.104260227136444783e+00,8.973600000000000465e-01,3.629399999999999848e-01,0.000000000000000000e+00
3.902858266522807185e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.133062990250125779e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.876464564825899117e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.619866139401671035e+01,9.104260227136444783e+00,1.691600000000000048e-01,9.850799999999999557e-01,0.000000000000000000e+00
8.363267713977444373e+01,9.104260227136444783e+00,3.859299999999999953e-01,9.209899999999999753e-01,0.000000000000000000e+00
9.106669288553216290e+01,9.104260227136444783e+00,6.450599999999999667e-01,7.544199999999999795e-01,0.000000000000000000e+00
9.850070863128989629e+01,9.104260227136444783e+00,7.957100000000000284e-01,5.820600000000000218e-01,0.000000000000000000e+00
1.059347243770476297e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.133687401228053488e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.208027558685630822e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282367716143208156e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.356707873600785490e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.431048031058362540e+02,9.104260227136444783e+00,1.732400000000000051e-01,9.834300000000000264e-01,0.000000000000000000e+00
1.505388188515939873e+02,9.104260227136444783e+00,4.010299999999999976e-01,9.153499999999999970e-01,0.000000000000000000e+00
1.579728345973517207e+02,9.104260227136444783e+00,6.215399999999999814e-01,7.775600000000000289e-01,0.000000000000000000e+00
1.654068503431094541e+02,9.104260227136444783e+00,7.156599999999999628e-01,6.899899999999999922e-01,0.000000000000000000e+00
1.728408660888671875e+02,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.858503936439432014e+00,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,1.638766840884559883e+01,-8.734799999999999509e-02,9.440800000000000303e-01,0.000000000000000000e+00
4.646259841098579813e+01,1.638766840884559883e+01,-1.713800000000000046e-01,9.202500000000000124e-01,0.000000000000000000e+00
5.389661415674353151e+01,1.638766840884559883e+01,-2.825500000000000234e-01,8.728700000000000347e-01,0.000000000000000000e+00
6.133062990250125779e+01,1.638766840884559883e+01,-4.353500000000000147e-01,7.826999999999999513e-01,0.000000000000000000e+00
6.876464564825899117e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.619866139401671035e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.363267713977444373e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.106669288553216290e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.850070863128989629e+01,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.059347243770476297e+02,1.638766840884559883e+01,-1.365599999999999870e-01,9.375599999999999490e-01,0.000000000000000000e+00
1.133687401228053488e+02,1.638766840884559883e+01,-2.206700000000000050e-01,9.048399999999999777e-01,0.000000000000000000e+00
1.208027558685630822e+02,1.638766840884559883e+01,-3.531400000000000095e-01,8.399400000000000199e-01,0.000000000000000000e+00
1.282367716143208156e+02,1.638766840884559883e+01,-4.701500000000000123e-01,7.628099999999999881e-01,0.000000000000000000e+00
1.356707873600785490e+02,1.638766840884559883e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
