X, Y, u, v, rho       # first attempt in obtaining all the layers. Specific layer 9
1.858503936439432014e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.292519682197159625e+00,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,1.820852045427288957e+00,-4.791799999999999948e-01,8.114900000000000446e-01,0.000000000000000000e+00
3.159456691947034557e+01,1.820852045427288957e+00,-8.795300000000000340e-01,1.850600000000000023e-01,0.000000000000000000e+00
3.902858266522807185e+01,1.820852045427288957e+00,-9.112400000000000500e-01,-1.333699999999999886e-01,0.000000000000000000e+00
4.646259841098579813e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.133062990250125779e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.876464564825899117e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.619866139401671035e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.363267713977444373e+01,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.106669288553216290e+01,1.820852045427288957e+00,-4.843100000000000183e-01,7.959399999999999809e-01,0.000000000000000000e+00
9.850070863128989629e+01,1.820852045427288957e+00,-7.888300000000000312e-01,4.075900000000000079e-01,0.000000000000000000e+00
1.059347243770476297e+02,1.820852045427288957e+00,-9.086400000000000032e-01,-3.343499999999999944e-02,0.000000000000000000e+00
1.133687401228053488e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.208027558685630822e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282367716143208156e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.356707873600785490e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.431048031058362540e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.505388188515939873e+02,1.820852045427288957e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.579728345973517207e+02,1.820852045427288957e+00,-4.577300000000000257e-01,8.021599999999999842e-01,0.000000000000000000e+00
1.654068503431094541e+02,1.820852045427288957e+00,6.746100000000000430e-01,-5.784899999999999487e-01,0.000000000000000000e+00
1.728408660888671875e+02,1.820852045427288957e+00,-7.543999999999999595e-01,4.419899999999999940e-01,0.000000000000000000e+00
1.858503936439432014e+00,9.104260227136444783e+00,-6.927400000000000224e-01,5.644299999999999873e-01,0.000000000000000000e+00
9.292519682197159625e+00,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.672653542795488946e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.416055117371261574e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.159456691947034557e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.902858266522807185e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.646259841098579813e+01,9.104260227136444783e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.389661415674353151e+01,9.104260227136444783e+00,-6.457899999999999752e-01,6.810100000000000042e-01,0.000000000000000000e+00
