56.400000000,3.520000000,0.490000000,0.532000000,0.000000000
56.400000000,3.520000000,0.490000000,0.532000000,0.000000000
58.200000000,3.520000000,0.483000000,0.558000000,0.000000000
60.000000000,3.520000000,-0.463000000,0.396000000,0.000000000
61.900000000,3.520000000,-0.420000000,0.332000000,0.000000000
63.700000000,3.520000000,0.367000000,0.721000000,0.000000000
65.500000000,3.520000000,0.317000000,0.758000000,0.000000000
67.300000000,3.520000000,-0.277000000,0.218000000,0.000000000
69.100000000,3.520000000,-0.247000000,0.204000000,0.000000000
71.000000000,3.520000000,-0.222000000,0.193000000,1.000000000
72.800000000,3.520000000,-0.196000000,0.184000000,1.000000000
74.600000000,3.520000000,-0.172000000,0.176000000,1.000000000
76.400000000,3.520000000,0.000000000,1.000000000,0.000000000
78.200000000,3.520000000,0.000000000,1.000000000,0.000000000
80.100000000,3.520000000,-0.496000000,0.491000000,0.000000000
81.900000000,3.520000000,-0.495000000,0.490000000,0.000000000
83.700000000,3.520000000,0.495000000,0.512000000,0.000000000
85.500000000,3.520000000,0.494000000,0.515000000,0.000000000
87.300000000,3.520000000,-0.493000000,0.481000000,0.000000000
89.100000000,3.520000000,0.492000000,0.524000000,0.000000000
91.000000000,3.520000000,-0.490000000,0.470000000,0.000000000
92.800000000,3.520000000,-0.488000000,0.464000000,0.000000000
94.600000000,3.520000000,-0.486000000,0.457000000,0.000000000
96.400000000,3.520000000,-0.486000000,0.451000000,0.000000000
98.200000000,3.520000000,0.493000000,0.533000000,1.000000000
100.000000000,3.520000000,0.974000000,-0.127000000,1.000000000
102.000000000,3.520000000,0.974000000,-0.147000000,1.000000000
104.000000000,3.520000000,-0.019600000,-0.084000000,0.000000000
106.000000000,3.520000000,0.481000000,0.402000000,0.000000000
107.000000000,3.520000000,0.485000000,0.420000000,0.000000000
109.000000000,3.520000000,0.488000000,0.438000000,0.000000000
111.000000000,3.520000000,0.491000000,0.454000000,0.000000000
113.000000000,3.520000000,0.493000000,0.464000000,0.000000000
115.000000000,3.520000000,0.495000000,0.470000000,0.000000000
116.000000000,3.520000000,0.495000000,0.482000000,0.000000000
56.400000000,5.280000000,-0.487000000,0.473000000,0.000000000
58.200000000,5.280000000,-0.964000000,0.129000000,0.000000000
60.000000000,5.280000000,0.971000000,-0.141000000,0.000000000
61.900000000,5.280000000,-0.024800000,-0.118000000,0.000000000
63.700000000,5.280000000,0.977000000,-0.129000000,0.000000000
65.500000000,5.280000000,0.483000000,0.401000000,0.000000000
67.300000000,5.280000000,0.486000000,0.417000000,0.000000000
69.100000000,5.280000000,0.490000000,0.432000000,1.000000000
71.000000000,5.280000000,0.492000000,0.445000000,1.000000000
72.800000000,5.280000000,0.494000000,0.457000000,1.000000000
74.600000000,5.280000000,0.495000000,0.470000000,1.000000000
76.400000000,5.280000000,0.495000000,0.483000000,0.000000000
78.200000000,5.280000000,0.494000000,0.498000000,0.000000000
80.100000000,5.280000000,0.492000000,0.516000000,0.000000000
81.900000000,5.280000000,0.488000000,0.538000000,0.000000000
83.700000000,5.280000000,0.480000000,0.564000000,0.000000000
85.500000000,5.280000000,0.467000000,0.593000000,0.000000000
